"","Tumor_Sample_Barcode","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total"
"65","TCGA-OR-A5L8-01A-11D-A29I-10",0,0,0,0,15,0,0,0,0,15
"66","TCGA-OR-A5JJ-01A-11D-A29I-10",1,0,0,0,13,0,0,0,0,14
"67","TCGA-OR-A5K3-01A-11D-A29I-10",0,0,1,0,13,0,0,0,0,14
"68","TCGA-OR-A5KS-01A-11D-A30A-10",1,0,0,0,12,1,0,0,0,14
"69","TCGA-OR-A5KU-01A-11D-A29I-10",0,1,1,0,10,1,0,0,0,13
"70","TCGA-OR-A5LP-01A-11D-A29I-10",0,0,0,0,12,0,0,1,0,13
"71","TCGA-OR-A5JZ-01A-11D-A29I-10",0,0,1,0,11,0,0,0,0,12
"72","TCGA-OR-A5L1-01A-11D-A30A-10",0,0,1,0,10,0,0,0,0,11
"73","TCGA-OR-A5JI-01A-11D-A29I-10",1,0,0,0,9,0,0,0,0,10
"74","TCGA-OR-A5K1-01A-11D-A29I-10",2,0,0,0,7,0,0,1,0,10
"75","TCGA-OR-A5LR-01A-11D-A29I-10",0,0,0,0,9,0,0,0,1,10
"76","TCGA-PK-A5H9-01A-11D-A29I-10",0,0,0,0,8,2,0,0,0,10
"77","TCGA-OR-A5JL-01A-11D-A29I-10",2,0,0,0,6,1,0,0,0,9
"78","TCGA-OR-A5LS-01A-11D-A29I-10",0,0,0,0,7,2,0,0,0,9
"79","TCGA-OR-A5J3-01A-11D-A29I-10",0,0,0,0,7,1,0,0,0,8
"80","TCGA-OR-A5JO-01A-11D-A29I-10",0,0,0,0,7,1,0,0,0,8
"81","TCGA-OR-A5KQ-01A-11D-A30A-10",0,0,0,0,8,0,0,0,0,8
"82","TCGA-OR-A5L5-01A-11D-A29I-10",0,0,1,0,7,0,0,0,0,8
"83","TCGA-OR-A5LH-01A-11D-A29I-10",2,0,0,0,6,0,0,0,0,8
"84","TCGA-OR-A5LN-01A-11D-A29I-10",0,0,0,0,7,0,0,0,0,7
"85","TCGA-PA-A5YG-01A-11D-A29I-10",0,0,0,0,6,1,0,0,0,7
"86","TCGA-OR-A5LA-01A-11D-A29I-10",0,0,0,0,6,0,0,0,0,6
"87","TCGA-OR-A5JH-01A-11D-A30A-10",0,0,0,0,3,1,0,1,0,5
"88","TCGA-OR-A5JQ-01A-11D-A29I-10",0,0,0,0,4,0,0,1,0,5
"89","TCGA-OR-A5L9-01A-11D-A29I-10",0,0,0,0,4,0,0,0,0,4
"90","TCGA-OR-A5JR-01A-11D-A29I-10",0,0,0,0,3,0,0,0,0,3
